onset	noun	အစပိုင်း|စတင်ချိန်
assay	noun	ဓာတ်ခွဲစမ်းသပ်မှု|အရည်အသွေးစစ်ဆေးမှု
slam	verb	ပြင်းပြင်းပိတ်သည်|ပြင်းထန်စွာတိုက်သည်
plaque	noun	သွားချေးလွှာ|အမှတ်တံဆိပ်ပြား
scenery	noun	ရှုခင်း|နောက်ခံမြင်ကွင်း
proliferation	noun	လျင်မြန်စွာပွားများမှု|ပျံ့နှံ့တိုးပွားမှု
trilogy	noun	သုံးပိုင်းဆက်လက်ရာ
brightness	noun	တောက်ပမှု|အလင်းရောင်ပြင်းအား
enjoyment	noun	ပျော်ရွှင်ခံစားမှု|နှစ်သက်ပျော်မွေ့မှု
correspond	verb	ကိုက်ညီသည်|စာပေးစာယူသည်
robotics	noun	စက်ရုပ်နည်းပညာ
vibrant	adjective	တက်ကြွသော|အသက်ဝင်သော
propagation	noun	ပျံ့နှံ့မှု|ဖြန့်ပွားမှု
purification	noun	သန့်စင်ခြင်း|အညစ်အကြေးဖယ်ရှားခြင်း
hardback	noun	အဖုံးမာစာအုပ်
tote	noun	လက်ကိုင်အိတ်ကြီး
