unsure	adjective	မသေချာသော|ယုံကြည်မှုမရှိသော
upwards	adverb	အပေါ်ဘက်သို့
comfortably	adverb	သက်တောင့်သက်သာ
exceptionally	adverb	ထူးထူးခြားခြား|အလွန်အမင်း
homosexuality	noun	လိင်တူချစ်ခြင်း
jewellery	noun	လက်ဝတ်ရတနာ
overweight	adjective	အဝလွန်သော
palette	noun	ဆေးရောင်စပ်ပန်းကန်|အရောင်အစု
policeman	noun	ရဲသား
psycho	noun	စိတ်မမှန်သူ|ရူးသွပ်သူ
rainy	adjective	မိုးရွာသော
singular	adjective	တစ်ခုတည်းဖြစ်သော|အနည်းကိန်း
systemic	adjective	စနစ်တစ်ခုလုံးဆိုင်ရာ
unchanged	adjective	မပြောင်းလဲသော
understandable	adjective	နားလည်နိုင်သော
firstly	adverb	ပထမဦးစွာ
flavour	noun	အရသာ|အငွေ့အသက်
longtime	adjective	အချိန်ကြာမြင့်သော
null	adjective	တန်ဖိုးမရှိသော|ဗလာဖြစ်သော
regain	verb	ပြန်လည်ရရှိသည်
solitary	adjective	တစ်ယောက်တည်းဖြစ်သော|အထီးကျန်သော
stoke	verb	မီးထိုးသည်|လှုံ့ဆော်သည်
unpaid	adjective	မပေးချေရသေးသော|အခကြေးငွေမရသော
deluxe	adjective	အဆင့်မြင့်ဇိမ်ခံသော
downstairs	adverb	အောက်ထပ်မှာ
hulk	noun	ဧရာမကိုယ်ထည်|ကြီးမားသူ
insanity	noun	ရူးသွပ်မှု|စိတ်မမှန်မှု
knot	noun	ကြိုးထုံး|အဖု
philosopher	noun	ဒဿနပညာရှင်
thrill	noun	စိတ်လှုပ်ရှားမှု|ရင်ခုန်ဖွယ်ခံစားချက်
disadvantage	noun	အားနည်းချက်|မကောင်းကျိုး
lump	noun	အလုံး|အဖု
masculine	adjective	အမျိုးသားဆန်သော|ယောက်ျားဆန်သော
ninety	noun	ကိုးဆယ်
outdoors	adverb	အပြင်ဘက်မှာ
respectable	adjective	လေးစားဖွယ်ကောင်းသော|သင့်တင့်လျောက်ပတ်သော
routinely	adverb	ပုံမှန်အတိုင်း|အစဉ်အလာအတိုင်း
salute	noun	အလေးပြုခြင်း|ဂုဏ်ပြုခြင်း
scum	noun	အညစ်အကြေး|လူယုတ်မာများ
slack	adjective	လျော့ရဲသော|ပေါ့လျော့သော
vogue	noun	ခေတ်စားမှု|ဖက်ရှင်ခေတ်ရေစီး
wildly	adverb	အလွန်အမင်း|ထိန်းမနိုင်စွာ
creed	noun	ယုံကြည်ချက်မူဝါဒ|ဘာသာရေးယုံကြည်ချက်
hustle	verb	အပြင်းအထန်ကြိုးစားသည်|လိမ်လည်သည်
pottery	noun	မြေထည်ပစ္စည်း|အိုးလုပ်ပညာ
prank	noun	နောက်ပြောင်မှု|အပြောင်အပြက်
aide	noun	အကူအညီပေးသူ|လက်ထောက်
