bulldog	verb	ရက်ရက်စက်စက်တိုက်ခိုက်သည်
conn	verb	ယာဉ်ကိုဦးဆောင်မောင်းနှင်သည်|သင်္ဘောကိုဦးတည်မောင်းသည်
cutler	noun	ဓားနှင့်ဇွန်းခက်ရင်းရောင်းသူ
hearty	adjective	နွေးထွေးရင်းနှီးသော|အားရပါးရဖြစ်သော
incremental	adjective	တဖြည်းဖြည်းတိုးလာသော|အဆင့်လိုက်တိုးသော
kale	noun	ကိုက်လန်မျိုးဟင်းရွက်
meridian	noun	မွန်းတည့်မျဉ်း|အမြင့်ဆုံးအဆင့်
mountainous	adjective	တောင်ထူထပ်သော
collier	noun	ကျောက်မီးသွေးတွင်းလုပ်သား
interpersonal	adjective	လူအချင်းချင်းဆိုင်ရာ
interracial	adjective	လူမျိုးမတူသူများအကြားဆိုင်ရာ
kinky	adjective	ထူးဆန်းသောလိင်အကြိုက်ရှိသော|ကောက်ကွေးသော
murderous	adjective	လူသတ်လိုစိတ်ရှိသော|အလွန်ပြင်းထန်သော
predictive	adjective	ခန့်မှန်းနိုင်ရန်အသုံးဝင်သော
sizable	adjective	အတော်အတန်ကြီးသော
triumphant	adjective	အောင်ပွဲခံသော|ဝမ်းမြောက်ဂုဏ်ယူသော
undone	adjective	မပြီးသေးသော|ဖြေထားသော
unheard	adjective	မကြားရသေးသော|မကြားဖူးသော
burr	noun	ချိတ်ဆူးပါသောအစေ့ခွံ
pertinent	adjective	သက်ဆိုင်တိကျသော|အကြောင်းအရာနှင့်ကိုက်ညီသော
plentiful	adjective	ပေါများသော|လုံလောက်များပြားသော
purchaser	noun	ဝယ်ယူသူ
revisit	verb	ပြန်လည်သွားရောက်သည်|ပြန်လည်စဉ်းစားသည်
soften	verb	ပျော့ပျောင်းစေသည်|ပြေလျော့စေသည်
souvenir	noun	အမှတ်တရပစ္စည်း
spinner	noun	ချည်ငင်သူ|လှည့်ပတ်သည့်အရာ
unbeaten	adjective	မရှုံးသေးသော|မအနိုင်ယူရသေးသော
understatement	noun	အမှန်ထက်လျှော့ပြောခြင်း
undesirable	adjective	မလိုလားအပ်သော|မနှစ်သက်ဖွယ်သော
unfairly	adverb	မတရားစွာ|မမျှတစွာ
azure	noun	ကောင်းကင်ပြာရောင်
bourne	noun	နယ်နိမိတ်|အဆုံးသတ်ရာ
breeder	noun	မွေးမြူသူ|မျိုးပွားစေသူ
clerical	adjective	စာရေးဝန်ထမ်းဆိုင်ရာ|ရုံးစာရေးဆိုင်ရာ
continual	adjective	မကြာခဏဆက်တိုက်ဖြစ်သော
craze	noun	အလွန်အမင်းခေတ်စားမှု|စွဲလမ်းမှု
deli	noun	အဆင်သင့်စားအစားအစာဆိုင်
dyer	noun	အထည်ဆိုးသူ
enamel	noun	သွားအပေါ်ယံမာလွှာ|ကြွေရည်
exceedingly	adverb	အလွန်အမင်း|ထူးထူးခြားခြား
geographically	adverb	ပထဝီဝင်အရ
golfer	noun	ဂေါက်သီးကစားသမား
grammatical	adjective	သဒ္ဒါဆိုင်ရာ|သဒ္ဒါမှန်သော
graphite	noun	ဂရက်ဖိုက်|ခဲတံခဲသား
hostess	noun	အမျိုးသမီးဧည့်ခံသူ
improperly	adverb	မသင့်လျော်စွာ|မမှန်ကန်စွာ
maroon	noun	နီညိုရောင်
mechanically	adverb	စက်နည်းဖြင့်|စက်ဆန်စွာ
moor	noun	မြက်နှင့်ချုံပင်ဖုံးသောမြေလွတ်
outspoken	adjective	ပွင့်ပွင့်လင်းလင်းပြောတတ်သော
pedigree	noun	မျိုးရိုးမှတ်တမ်း|မျိုးရိုးကောင်းမှု
pleasantly	adverb	သာယာစွာ|နှစ်သက်ဖွယ်ကောင်းစွာ
prowess	noun	ထူးချွန်ကျွမ်းကျင်မှု|စွမ်းရည်ထက်မြက်မှု
psychologically	adverb	စိတ်ပိုင်းဆိုင်ရာအရ
revert	verb	မူလအခြေအနေသို့ပြန်သွားသည်
westward	adverb	အနောက်ဘက်သို့
ascension	noun	အပေါ်သို့တက်ခြင်း|အဆင့်မြင့်တက်ခြင်း
cognition	noun	သိမြင်မှု|တွေးခေါ်သိရှိမှု
cylindrical	adjective	ဆလင်ဒါပုံသဏ္ဌာန်ရှိသော
deem	verb	ဟုယူဆသည်|ဟုသတ်မှတ်သည်
disproportionate	adjective	အချိုးမညီသော|မမျှတလောက်အောင်များသော
divisive	adjective	ကွဲပြားစေသော|သဘောထားကွဲစေသော
folly	noun	မိုက်မဲမှု|အလျင်စလိုလုပ်ရပ်
foreseeable	adjective	ကြိုတင်မှန်းဆနိုင်သော
highness	noun	မြင့်မားမှု|မင်းမြတ်ဘွဲ့ခေါ်ပုံ
homophobia	noun	လိင်တူချစ်သူများအပေါ်ကြောက်ရွံ့မုန်းတီးမှု
intellectually	adverb	ဉာဏ်ရည်ပိုင်းဆိုင်ရာအရ
jammed	adjective	ပြည့်ကျပ်နေသော|ညပ်နေသော
loom	noun	ရက်ကန်းစက်
maize	noun	ပြောင်းဖူး
nemesis	noun	မရှောင်နိုင်သောပြိုင်ဘက်|ဒုက္ခပေးသည့်အရာ
ornamental	adjective	အလှဆင်ရန်အသုံးပြုသော
pancreatic	adjective	ပန်ကရိယနှင့်ဆိုင်သော
perseverance	noun	ဇွဲလုံ့လ|မလျှော့သောကြိုးစားမှု
pricey	adjective	ဈေးကြီးသော
rector	noun	အုပ်ချုပ်ရေးမှူး|ဘာသာရေးကျောင်းအုပ်
rocker	noun	ရော့ခ်ဂီတသမား|လှုပ်ခုံ
sheen	noun	တောက်ပမှု|ပြောင်လက်မှု
sinful	adjective	အပြစ်ရှိသော|မကောင်းမှုကျူးလွန်သော
sling	noun	လွယ်ကြိုး|ပခုံးချိတ်ကြိုး
socioeconomic	adjective	လူမှုစီးပွားရေးဆိုင်ရာ
textual	adjective	စာသားနှင့်ဆိုင်သော
unaffected	adjective	မထိခိုက်သော|ဟန်မဆောင်သော
undeniable	adjective	မငြင်းနိုင်သော|သေချာထင်ရှားသော
upstate	adverb	ပြည်နယ်၏မြောက်ပိုင်းသို့|အတွင်းပိုင်းဒေသသို့
visitation	noun	လာရောက်တွေ့ဆုံမှု|သွားရောက်ခြင်း
wick	noun	မီးစာ
worldly	adjective	လောကီဆန်သော|လောကအတွေ့အကြုံရှိသော
advantageous	adjective	အကျိုးရှိသော|အားသာချက်ဖြစ်စေသော
anon	adverb	မကြာမီ|နောက်တစ်ကြိမ်
ante	noun	ပွဲမစခင်ထည့်ရသောအရင်းငွေ
bullpen	noun	ဘေ့စ်ဘောအစားထိုးပစ်သမားနွေးထွေးရာနေရာ
canine	noun	စွယ်သွား|ခွေးမျိုးဝင်တိရစ္ဆာန်
carver	noun	ထွင်းထုသူ
causal	adjective	အကြောင်းရင်းဖြစ်စေသော|အကြောင်းရင်းဆိုင်ရာ
degenerate	adjective	ယိုယွင်းသော|အကျင့်ပျက်သော
doggy	noun	ခွေးကလေး
dole	noun	ထောက်ပံ့ငွေ|ဝေစု
exponential	adjective	အဆတိုးနှုန်းဖြင့်တိုးသော|အညွှန်းကိန်းဆိုင်ရာ
farce	noun	ဟာသပျက်လုံး|အတုအယောင်ပြဇာတ်
fatally	adverb	သေစေနိုင်အောင်|ပြန်မပြင်နိုင်အောင်
grossly	adverb	အလွန်အမင်း|ဆိုးဆိုးရွားရွား
hairstyle	noun	ဆံပင်ပုံစံ
handwritten	adjective	လက်ရေးဖြင့်ရေးထားသော
harmonic	noun	သံစဉ်ညီသံ|ဟာမိုနစ်သံ
hectic	adjective	ရှုပ်ရှက်ခတ်သော|အလွန်အလုပ်များသော
inhabit	verb	နေထိုင်သည်|အခြေချနေသည်
jackass	noun	မိုက်မဲသူ|အရူးအမူးလုပ်သူ
lunchtime	noun	နေ့လယ်စာစားချိန်
matchmaking	noun	လက်ထပ်ဖက်ရှာပေးခြင်း|တွဲဖက်ပေးခြင်း
mend	verb	ဖာသည်|ပြုပြင်သည်
microbial	adjective	ပိုးမွှားနှင့်ဆိုင်သော
millennial	adjective	ထောင်စုနှစ်နှင့်ဆိုင်သော|ထောင်စုနှစ်မျိုးဆက်ဆိုင်ရာ
passionately	adverb	စိတ်အားထက်သန်စွာ|ပြင်းပြင်းထန်ထန်
realistically	adverb	လက်တွေ့ကျကျ
reorganization	noun	ပြန်လည်ဖွဲ့စည်းခြင်း|ဖွဲ့စည်းပုံပြောင်းလဲခြင်း
saline	noun	ဆားရည်|ဆေးသုံးဆားရည်
shipbuilding	noun	သင်္ဘောတည်ဆောက်ခြင်း
smoky	adjective	မီးခိုးများသော|မီးခိုးနံ့ရှိသော
thematic	adjective	အကြောင်းအရာအဓိကနှင့်ဆိုင်သော
turquoise	noun	စိမ်းပြာရောင်|တာကွိုက်ကျောက်
unbiased	adjective	ဘက်မလိုက်သော|မျှတသော
usefulness	noun	အသုံးဝင်မှု
voyager	noun	ခရီးဝေးသွားသူ|ပင်လယ်ခရီးသွားသူ
wrongful	adjective	မတရားသော|ဥပဒေမဲ့သော
acknowledgement	noun	အသိအမှတ်ပြုမှု|လက်ခံဝန်ခံမှု
berg	noun	ရေပေါ်ရေခဲတောင်
brig	noun	ရွက်တိုင်နှစ်တိုင်ပါသင်္ဘော|စစ်သင်္ဘောထိန်းသိမ်းခန်း
canonical	adjective	စံသတ်မှတ်ထားသော|တရားဝင်လက်ခံထားသော
counsellor	noun	အကြံပေးသူ|တိုင်ပင်အကြံပေးပုဂ္ဂိုလ်
eureka	interjection	တွေ့ပြီ|အဖြေရှာတွေ့ပြီ
hardcover	noun	အဖုံးမာစာအုပ်
healer	noun	ကုသပေးသူ|အနာပျောက်စေသူ
intestinal	adjective	အူနှင့်ဆိုင်သော
mamma	noun	အမေ|မေမေ
measurable	adjective	တိုင်းတာနိုင်သော
mojo	noun	မှော်စွမ်းအား|ဆွဲဆောင်နိုင်စွမ်း
pervert	noun	လိင်အပြုအမူယိုယွင်းသူ|အကျင့်ယိုယွင်းသူ
philanthropy	noun	ပရဟိတလုပ်ငန်း|လူမှုကူညီမှု
potion	noun	ဆေးရည်|မှော်ဆေးရည်
primal	adjective	မူလအခြေခံဖြစ်သော|ပင်ကိုဖြစ်သော
psychopath	noun	အခြားသူများအပေါ်ခံစားချက်နည်းသောအကျင့်ပျက်စိတ်ရှိသူ
quid	noun	ပေါင်ငွေတစ်ပေါင်|အပြန်အလှန်အကျိုး
