inter	verb	သင်္ဂြိုဟ်သည်|မြေမြှုပ်သည်
mall	noun	ဈေးဝယ်စင်တာ
spray	noun	ဖျန်းဆေး
placement	noun	နေရာချထားမှု
yard	noun	ခြံဝင်း|ကိုက်အတိုင်းအတာ
pour	verb	လောင်းသည်
dust	noun	ဖုန်မှုန့်
hence	adverb	ထို့ကြောင့်|ဒါကြောင့်
butt	noun	တင်ပါး
ebony	noun	အနက်ရောင်မာကျောသစ်သား
kiss	noun	အနမ်း
beast	noun	သားရဲ|တိရစ္ဆာန်
pizza	noun	ပီဇာ
yoga	noun	ယောဂကျင့်စဉ်
sublime	adjective	အလွန်မြင့်မြတ်သော|ထူးကဲသော
glad	adjective	ဝမ်းသာသော|ပျော်ရွှင်သော
rack	noun	စင်|တန်း
nobody	pronoun	ဘယ်သူမှမဟုတ်သူ|အရေးမပါသူ
cloudy	adjective	တိမ်ထူသော|မရှင်းလင်းသော
plenty	noun	အများအပြား|လုံလောက်အောင်များစွာ
solo	noun	တစ်ကိုယ်တော်
 tall	adjective	အရပ်ရှည်သော|မြင့်သော
somewhere	adverb	တစ်နေရာရာမှာ
quest	noun	ရှာဖွေမှု|စွန့်စားရှာဖွေခရီး
thumbnail	noun	လက်မလက်သည်း|ပုံအသေး
nova	noun	အလင်းပြင်းထန်လာသောကြယ်
lifetime	noun	ဘဝတစ်လျှောက်|သက်တမ်းတစ်လျှောက်
fairly	adverb	အတော်အတန်|မျှတစွာ
regardless	adverb	ဘာပဲဖြစ်ဖြစ်|မည်သို့ပင်ဖြစ်စေ
aluminum	noun	အလူမီနီယမ်
shit	noun	မစင်
thick	adjective	ထူသော|ထူထဲသော
drum	noun	ဗုံ|ဒရမ်
vista	noun	ရှုခင်းကျယ်|မြင်ကွင်း
orgy	noun	အုပ်စုလိုက်လိင်ဆက်ဆံပွဲ
lovely	adjective	ချစ်စရာကောင်းသော|လှပသော
smile	noun	အပြုံး
indoor	adjective	အဆောက်အအုံအတွင်းရှိ|အိမ်တွင်း
regularly	adverb	ပုံမှန်အားဖြင့်|ပုံမှန်
tend	verb	လေ့ရှိသည်|ဦးတည်တတ်သည်
gulf	noun	ပင်လယ်ကွေ့
customize	verb	စိတ်ကြိုက်ပြင်ဆင်သည်
candy	noun	သကြားလုံး
burn	verb	လောင်သည်|မီးလောင်စေသည်
bread	noun	ပေါင်မုန့်
tobacco	noun	ဆေးရွက်ကြီး
wooden	adjective	သစ်သားဖြင့်ပြုလုပ်သော
dynamics	noun	လှုပ်ရှားမှုဆိုင်ရာ အင်အားသဘောတရား
reproduction	noun	မျိုးပွားခြင်း|မိတ္တူပြန်ထုတ်ခြင်း
sight	noun	မြင်ကွင်း|အမြင်အာရုံ
